# chronologia — coarse IntCal20 radiocarbon calibration curve
#
# Source: IntCal20 Northern Hemisphere atmospheric 14C calibration curve,
#   Reimer et al. 2020, Radiocarbon 62, doi:10.1017/RDC.2020.41
#   https://intcal.org/curves/intcal20.14c
# Downloaded: 2026-07-21
#
# COARSENESS / HONESTY NOTE: this is the full 1-yr IntCal20 curve DECIMATED to
# every 100th cal-BP sample (0..55000 cal BP). It exists to demonstrate that
# 14C BP and cal BP are distinct reckonings bridged by a tabulated, uncertainty-
# bearing conversion. `calibrate_c14` does a nearest-sample lookup on this coarse
# grid, NOT a probabilistic OxCal/Bayesian calibration: no full-resolution
# curve, no measurement error propagation, no highest-posterior-density
# intervals. Use it as a coarse locator on the BP axis, never as a substitute
# for OxCal/CALIB for real radiocarbon work. basis of results is "reconstructed".
#
# The curve maps a calendar age (cal BP, before AD 1950) to the atmospheric
# radiocarbon age a sample of that calendar age would yield, with a 1-sigma
# uncertainty. Columns:
#   cal_bp<TAB>c14_bp<TAB>sigma_14c
# cal_bp: calendar years before AD 1950 (the sampled grid, step 100).
# c14_bp: mean conventional radiocarbon age (14C yr BP) at that calendar age.
# sigma_14c: 1-sigma of the curve's 14C age at that point (14C yr).
#
cal_bp	c14_bp	sigma_14c
21500	17810.0	46.0
21600	17798.0	46.0
21700	17806.0	48.0
21800	17877.0	43.0
21900	17949.0	47.0
22000	18034.0	49.0
22100	18151.0	45.0
22200	18238.0	44.0
22300	18332.0	44.0
22400	18489.0	75.0
22500	18658.0	59.0
22600	18754.0	60.0
22700	18785.0	49.0
22800	18794.0	49.0
22900	18864.0	72.0
23000	19105.0	73.0
23100	19251.0	48.0
23200	19326.0	45.0
23300	19384.0	48.0
23400	19496.0	58.0
23500	19564.0	54.0
23600	19451.0	68.0
23700	19465.0	69.0
23800	19758.0	70.0
23900	19960.0	49.0
24000	20021.0	50.0
24100	20057.0	50.0
24200	20160.0	88.0
24300	20305.0	65.0
24400	20354.0	70.0
24500	20362.0	56.0
24600	20449.0	57.0
24700	20540.0	54.0
24800	20577.0	47.0
24900	20612.0	46.0
25000	20706.0	47.0
25100	20789.0	48.0
25200	20906.0	60.0
25300	21048.0	69.0
25400	21121.0	54.0
25500	21100.0	53.0
25600	21154.0	53.0
25700	21297.0	52.0
25800	21436.0	57.0
25900	21608.0	92.0
26000	21854.0	108.0
26100	21972.0	58.0
26200	21966.0	75.0
26300	22004.0	56.0
26400	22183.0	112.0
26500	22405.0	116.0
26600	22447.0	77.0
26700	22386.0	127.0
26800	22358.0	61.0
26900	22441.0	63.0
27000	22568.0	61.0
27100	22660.0	57.0
27200	22808.0	72.0
27300	23058.0	78.0
27400	23241.0	61.0
27500	23289.0	74.0
27600	23302.0	68.0
27700	23443.0	98.0
27800	23702.0	114.0
27900	23897.0	84.0
28000	23981.0	70.0
28100	24029.0	69.0
28200	24057.0	59.0
28300	24113.0	59.0
28400	24173.0	65.0
28500	24203.0	67.0
28600	24287.0	68.0
28700	24426.0	75.0
28800	24584.0	68.0
28900	24671.0	62.0
29000	24723.0	62.0
29100	24805.0	71.0
29200	25029.0	88.0
29300	25235.0	64.0
29400	25255.0	61.0
29500	25259.0	57.0
29600	25285.0	59.0
29700	25317.0	61.0
29800	25357.0	61.0
29900	25464.0	77.0
30000	25664.0	92.0
30100	25899.0	85.0
30200	26030.0	69.0
30300	26121.0	74.0
30400	26263.0	72.0
30500	26332.0	66.0
30600	26309.0	67.0
30700	26306.0	65.0
30800	26411.0	75.0
30900	26545.0	72.0
31000	26665.0	81.0
31100	26920.0	127.0
31200	27251.0	108.0
31300	27436.0	80.0
31400	27506.0	81.0
31500	27538.0	95.0
31600	27629.0	117.0
31700	27775.0	114.0
31800	27922.0	101.0
31900	28041.0	95.0
32000	28138.0	94.0
32100	28232.0	102.0
32200	28335.0	95.0
32300	28423.0	94.0
32400	28450.0	105.0
32500	28439.0	116.0
32600	28394.0	124.0
32700	28374.0	126.0
32800	28409.0	118.0
32900	28486.0	106.0
33000	28575.0	96.0
33100	28676.0	93.0
33200	28785.0	94.0
33300	28886.0	91.0
33400	28953.0	96.0
33500	28980.0	102.0
33600	29011.0	102.0
33700	29098.0	105.0
33800	29200.0	103.0
33900	29278.0	107.0
34000	29355.0	116.0
34100	29451.0	125.0
34200	29579.0	149.0
34300	29740.0	149.0
34400	29916.0	146.0
34500	30088.0	130.0
34600	30255.0	127.0
34700	30418.0	120.0
34800	30545.0	120.0
34900	30605.0	125.0
35000	30610.0	126.0
35100	30624.0	121.0
35200	30728.0	130.0
